epoch,training_loss,hr_at_10,ndcg_at_10,keterangan
1,0.6688,0.3476,0.1797,Model terbaik tersimpan
2,0.5525,0.3451,0.1828,Tidak ada peningkatan (1/5)
3,0.4599,0.3451,0.1800,Tidak ada peningkatan (2/5)
4,0.4432,0.3415,0.1780,Tidak ada peningkatan (3/5)
5,0.4363,0.3500,0.1822,Model terbaik tersimpan
6,0.4348,0.3402,0.1800,Tidak ada peningkatan (1/5)
7,0.4353,0.3500,0.1828,Tidak ada peningkatan (2/5)
8,0.4340,0.3415,0.1805,Tidak ada peningkatan (3/5)
9,0.4330,0.3415,0.1799,Tidak ada peningkatan (4/5)
10,0.4330,0.3439,0.1798,Tidak ada peningkatan (5/5)
